id,name,party,partyLabel,votes,election,electionLabel,ranking
Q7150909,Paul Girvan,Q215519,Democratic Unionist Party,15149,Q30173038,General election 2019,1
Q5220520,Danny Kinahan,Q841045,Ulster Unionist Party,12460,Q30173038,General election 2019,2
Q56702135,John Blair,Q244927,Alliance Party of Northern Ireland,8190,Q30173038,General election 2019,3
Q24052777,Declan Kearney,Q76382,Sinn Féin,4887,Q30173038,General election 2019,4
,Roisin Lynch,Q175443,Social Democratic and Labour Party,2288,Q30173038,General election 2019,5
Q7150909,Paul Girvan,Q215519,Democratic Unionist Party,16508,Q25052149,General election 2017,1
Q5220520,Danny Kinahan,Q841045,Ulster Unionist Party,13300,Q25052149,General election 2017,2
Q24052777,Declan Kearney,Q76382,Sinn Féin,7797,Q25052149,General election 2017,3
,Neil Kelly,Q244927,Alliance Party of Northern Ireland,3203,Q25052149,General election 2017,4
,Roisin Lynch,Q175443,Social Democratic and Labour Party,2362,Q25052149,General election 2017,5
Q5220520,Danny Kinahan,Q841045,Ulster Unionist Party,11942,Q3586935,General election 2015,1
Q694775,William McCrea,Q215519,Democratic Unionist Party,10993,Q3586935,General election 2015,2
Q24052777,Declan Kearney,Q76382,Sinn Féin,4699,Q3586935,General election 2015,3
,Neil Kelly,Q244927,Alliance Party of Northern Ireland,3576,Q3586935,General election 2015,4
,Roisin Lynch,Q175443,Social Democratic and Labour Party,2990,Q3586935,General election 2015,5
,Rick Cairns,Q985076,Traditional Unionist Voice,1908,Q3586935,General election 2015,6
,Alan Dunlop,Q7058484,Northern Ireland Conservatives,415,Q3586935,General election 2015,7
Q694775,William McCrea,Q215519,Democratic Unionist Party,11536,Q215622,General election 2010,1
Q336064,Reg Empey,Q7879942,Ulster Conservatives and Unionists,10353,Q215622,General election 2010,2
Q6881061,Mitchel McLaughlin,Q76382,Sinn Féin,4729,Q215622,General election 2010,3
,Michelle Byrne,Q175443,Social Democratic and Labour Party,2955,Q215622,General election 2010,4
,Alan Lawther,Q244927,Alliance Party of Northern Ireland,2607,Q215622,General election 2010,5
,Mel Lucas,Q985076,Traditional Unionist Voice,1829,Q215622,General election 2010,6
Q694775,William McCrea,Q215519,Democratic Unionist Party,14507,Q428598,General election 2005,1
Q338273,David Burnside,Q841045,Ulster Unionist Party,11059,Q428598,General election 2005,2
Q5296845,Noreen McClelland,Q175443,Social Democratic and Labour Party,4706,Q428598,General election 2005,3
,Henry Cushinan,Q76382,Sinn Féin,4407,Q428598,General election 2005,4
Q5233732,David Ford,Q244927,Alliance Party of Northern Ireland,3278,Q428598,General election 2005,5
Q338273,David Burnside,Q841045,Ulster Unionist Party,16366,Q590740,General election 2001,1
Q694775,William McCrea,Q215519,Democratic Unionist Party,15355,Q590740,General election 2001,2
,Sean A. McKee,Q175443,Social Democratic and Labour Party,5336,Q590740,General election 2001,3
Q15054229,Martin Meehan,Q76382,Sinn Féin,4160,Q590740,General election 2001,4
Q5233732,David Ford,Q244927,Alliance Party of Northern Ireland,1969,Q590740,General election 2001,5
Q7051992,Norman Boyd,Q7058534,Northern Ireland Unionist Party,972,Q590740,General election 2001,6
Q694775,William McCrea,Q215519,Democratic Unionist Party,11601,Q7565997,2000 South Antrim by-election,1
Q338273,David Burnside,Q841045,Ulster Unionist Party,10779,Q7565997,2000 South Antrim by-election,2
Q5296845,Donovan McClelland,Q175443,Social Democratic and Labour Party,3496,Q7565997,2000 South Antrim by-election,3
Q15054229,Martin Meehan,Q76382,Sinn Féin,2611,Q7565997,2000 South Antrim by-election,4
Q5233732,David Ford,Q244927,Alliance Party of Northern Ireland,2031,Q7565997,2000 South Antrim by-election,5
,David H. Collins,Q491782,Natural Law Party,49,Q7565997,2000 South Antrim by-election,6
Q5132944,Clifford Forsythe,Q841045,Ulster Unionist Party,23108,Q918503,General election 1997,1
Q5296845,Donovan McClelland,Q175443,Social Democratic and Labour Party,6497,Q918503,General election 1997,2
Q5233732,David Ford,Q244927,Alliance Party of Northern Ireland,4668,Q918503,General election 1997,3
Q5932726,Hugh Smyth,Q1817613,Progressive Unionist Party,3490,Q918503,General election 1997,4
,Henry Cushinan,Q76382,Sinn Féin,2229,Q918503,General election 1997,5
,Barbara A. Briggs,Q491782,Natural Law Party,203,Q918503,General election 1997,6
Q5132944,Clifford Forsythe,Q841045,Ulster Unionist Party,29956,Q543609,General election 1992,1
Q5296845,Donovan McClelland,Q175443,Social Democratic and Labour Party,5397,Q543609,General election 1992,2
,John K. Blair,Q244927,Alliance Party of Northern Ireland,5244,Q543609,General election 1992,3
,Henry Cushinan,Q76382,Sinn Féin,1220,Q543609,General election 1992,4
,Denis Martin,Q327591,Independent (politician),442,Q543609,General election 1992,5
Q5132944,Clifford Forsythe,Q841045,Ulster Unionist Party,25395,Q918472,General election 1987,1
Q5585521,Gordon Mawhinney,Q244927,Alliance Party of Northern Ireland,5808,Q918472,General election 1987,2
Q5296845,Donovan McClelland,Q175443,Social Democratic and Labour Party,3611,Q918472,General election 1987,3
,Henry Cushinan,Q76382,Sinn Féin,1592,Q918472,General election 1987,4
Q5132944,Clifford Forsythe,Q841045,Ulster Unionist Party,30087,Q20979171,By-election 1986,1
Q2073804,Peter Barry,Q2708643,Anglo-Irish Agreement,1870,Q20979171,By-election 1986,2
Q5132944,Clifford Forsythe,Q841045,Ulster Unionist Party,17727,Q918466,General election 1983,1
Q7373425,Roy Thompson,Q215519,Democratic Unionist Party,10935,Q918466,General election 1983,2
Q5585521,Gordon Mawhinney,Q244927,Alliance Party of Northern Ireland,4612,Q918466,General election 1983,3
Q4709010,Alban Maginness,Q175443,Social Democratic and Labour Party,3377,Q918466,General election 1983,4
,Sean H. Laverty,Q76382,Sinn Féin,1629,Q918466,General election 1983,5
,Kevin Smyth,Q1860218,Workers' Party of Ireland,549,Q918466,General election 1983,6
Q1680843,James Molyneaux,Q841045,Ulster Unionist Party,50782,Q918450,General election 1979,1
Q5079797,Charles Kinahan,Q244927,Alliance Party of Northern Ireland,11914,Q918450,General election 1979,2
,Patrick Rowan,Q175443,Social Democratic and Labour Party,7432,Q918450,General election 1979,3
,Bob Kidd,Q7888208,United Labour Party (Northern Ireland),1895,Q918450,General election 1979,4
,Kevin Smyth,Q1860218,Republican Clubs,1615,Q918450,General election 1979,5
Q1680843,James Molyneaux,Q841045,Ulster Unionist Party,48892,Q918508,General election October 1974,1
Q5079797,Charles Kinahan,Q244927,Alliance Party of Northern Ireland,10460,Q918508,General election October 1974,2
,Patrick Rowan,Q175443,Social Democratic and Labour Party,9061,Q918508,General election October 1974,3
Q1680843,James Molyneaux,Q841045,Ulster Unionist Party,48203,Q119524,General election February 1974,1
Q5079797,Charles Kinahan,Q244927,Alliance Party of Northern Ireland,12559,Q119524,General election February 1974,2
,Patrick John Rowan,Q175443,Social Democratic and Labour Party,8769,Q119524,General election February 1974,3
,Bob Kidd,Q327591,Independent (politician),1801,Q119524,General election February 1974,4
Q1680843,James Molyneaux,Q841045,Ulster Unionist Party,59589,Q918442,General election 1970,1
,Robert Johnston,Q7058511,Northern Ireland Labour Party,19971,Q918442,General election 1970,2
Q7815177,Tom Caldwell,Q6017344,Independent Unionist,10938,Q918442,General election 1970,3
,Daniel MacAllister,Q6972240,National Democratic Party (Northern Ireland),6037,Q918442,General election 1970,4
,Rodney Smith,Q7879983,Ulster Liberal Party,913,Q918442,General election 1970,5
Q13529889,Knox Cunningham,Q841045,Ulster Unionist Party,40840,Q918430,General election 1966,1
,Sydney Stewart,Q7058511,Northern Ireland Labour Party,22672,Q918430,General election 1966,2
Q13529889,Knox Cunningham,Q841045,Ulster Unionist Party,47325,Q220208,General election 1964,1
,Sydney Stewart,Q7058511,Northern Ireland Labour Party,16531,Q220208,General election 1964,2
,Leo Wilson,Q16847164,Independent Republican (Ireland),3830,Q220208,General election 1964,3
Q13529889,Knox Cunningham,Q841045,Ulster Unionist Party,52786,Q918420,General election 1959,1
Q20979175,Michael Traynor,Q76382,Sinn Féin,2745,Q918420,General election 1959,2
Q13529889,Knox Cunningham,Q841045,Ulster Unionist Party,50347,Q918412,General election 1955,1
Q20979175,Michael Traynor,Q76382,Sinn Féin,5155,Q918412,General election 1955,2
Q5301738,Douglas Savory,Q841045,Ulster Unionist Party,41023,Q748667,General election 1950,1
,Edward Brown,Q7058511,Northern Ireland Labour Party,8068,Q748667,General election 1950,2
Q5076603,Charles Craig,Q6071313,Irish Unionist Party,13270,Q905063,General Election 1918,1
Q23618673,Kevin O'Shiel,Q76382,Sinn Féin,2318,Q905063,General Election 1918,2
Q5076603,Charles Craig,Q6071313,Irish Unionist Party,5310,Q3075752,General election January 1910,1
,William Moffat Clow,Q622441,Liberal Party (UK),2340,Q3075752,General election January 1910,2
Q5076603,Charles Craig,Q6071313,Irish Unionist Party,4464,Q22083760,1903 South Antrim by-election,1
,Samuel Robert Keightley,Q7381900,Russellite Unionist,3615,Q22083760,1903 South Antrim by-election,2
Q2578654,William Ellison-Macartney,Q6071313,Irish Unionist Party,3674,Q918358,General election 1900,1
,Samuel Lawther,Q6017344,Independent Unionist,3081,Q918358,General election 1900,2
Q2578654,William Ellison-Macartney,Q6070653,Irish Conservative Party,5047,Q3397257,General election 1885,1
Q16030427,John Dougherty Barbour,Q622441,Liberal Party (UK),3680,Q3397257,General election 1885,2
